"~id","~start_node_id","~end_node_id","~relationship_type"
"1152922604118474752","0","2","BaoGom"
"6917530127152709635","0","3","BaoGom"
"6917530127152709636","0","4","BaoGom"
"6917530127152709637","0","5","BaoGom"
"6917530127152709638","0","6","BaoGom"
"6917530127152709639","0","7","BaoGom"
"1152922604118474760","8","0","BaoGom"
"1173188802441641985","1","124","BaoGom"
"1164181603186900993","1","276","BaoGom"
"1166433403000586241","1","277","BaoGom"
"1168685202814271489","1","278","BaoGom"
"1175440602255327233","1","279","BaoGom"
"1170937002627956738","2","1","BaoGom"
"1173188802441641986","2","11","BaoGom"
"1175440602255327234","2","14","BaoGom"
"1177692402069012482","2","15","BaoGom"
"1179944201882697730","2","16","BaoGom"
"1182196001696382978","2","18","BaoGom"
"1184447801510068226","2","19","BaoGom"
"1159679103071158548","276","9","Chua"
"1152923703630102690","162","10","Chua"
"1211469399274291211","11","23","BaoGom"
"1213721199087976459","11","24","BaoGom"
"1215972998901661707","11","26","BaoGom"
"1218224798715346955","11","27","BaoGom"
"1220476598529032203","11","28","BaoGom"
"1222728398342717451","11","31","BaoGom"
"1224980198156402699","11","32","BaoGom"
"1227231997970087947","11","33","BaoGom"
"1229483797783773195","11","35","BaoGom"
"1231735597597458443","11","36","BaoGom"
"6917530127152709669","11","37","BaoGom"
"6917530127152709671","11","39","BaoGom"
"6917530127152709672","11","40","BaoGom"
"6917530127152709673","11","41","BaoGom"
"6917530127152709674","11","42","BaoGom"
"6917530127152709676","11","44","BaoGom"
"6917530127152709677","11","45","BaoGom"
"6917530127152709678","11","46","BaoGom"
"6917530127152709679","11","47","BaoGom"
"6917530127152709681","11","49","BaoGom"
"6917530127152709683","11","51","BaoGom"
"6917530127152709684","11","52","BaoGom"
"6917530127152709687","11","55","BaoGom"
"6917530127152709688","11","56","BaoGom"
"6917530127152709689","11","57","BaoGom"
"6917530127152709690","11","58","BaoGom"
"6917530127152709692","11","60","BaoGom"
"6917530127152709693","11","61","BaoGom"
"6917530127152709694","11","62","BaoGom"
"6917530127152709695","11","63","BaoGom"
"6917530127152709697","11","65","BaoGom"
"6917530127152709698","11","66","BaoGom"
"6917530127152709699","11","67","BaoGom"
"6917530127152709700","11","68","BaoGom"
"6917530127152709702","11","70","BaoGom"
"6917530127152709703","11","71","BaoGom"
"6917530127152709704","11","72","BaoGom"
"6917530127152709705","11","73","BaoGom"
"6917530127152709708","11","76","BaoGom"
"6917530127152709709","11","77","BaoGom"
"6917530127152709711","11","79","BaoGom"
"6917530127152709713","11","81","BaoGom"
"6917530127152709714","11","82","BaoGom"
"6917530127152709740","11","108","BaoGom"
"6917530127152709741","11","109","BaoGom"
"6917530127152709744","11","112","BaoGom"
"1166434502512214292","276","12","Chua"
"6919783026478022669","276","13","Chua"
"1155174403932160014","14","239","BaoGom"
"1157426203745845262","14","240","BaoGom"
"1159678003559530510","14","241","BaoGom"
"1161929803373215758","14","242","BaoGom"
"1164181603186901006","14","243","BaoGom"
"1166433403000586254","14","244","BaoGom"
"1168685202814271502","14","245","BaoGom"
"1170937002627956750","14","246","BaoGom"
"1173188802441641998","14","247","BaoGom"
"1177692402069012494","14","248","BaoGom"
"1179944201882697742","14","249","BaoGom"
